No.,Tweet ID
0,[['1452132453301297155']]
1,[['1350897461041262599']]
2,[['1391083177842724870']]
3,[['1451151002489479174']]
4,[['1390524417399197698']]
5,[['1350468105420611584']]
6,[['1243108569932795904']]
7,[['1352283995942350852']]
8,[['1351247983258591232']]
9,[['1389612740902334475']]
10,[['1352214724923039750']]
11,[['1451285013304074241']]
12,[['1452408956069027845']]
13,[['1350573936090742786']]
14,[['1351976306481631233']]
15,[['1451393119627399201']]
16,[['1241717415605665794']]
17,[['1390591395048697856']]
18,[['1450659439321702400']]
19,[['1390405177711243265']]
20,[['1350388233079824385']]
21,[['1389546617003458569']]
22,[['1450738934384844804']]
23,[['1351213554838482947']]
24,[['1452295074302267401']]
25,[['1351455524282372096']]
26,[['1350082802541338627']]
27,[['1390582145673011204']]
28,[['1351249247543447555']]
29,[['1350185137225560066']]
30,[['1391307099842490369']]
31,[['1350555696476119054']]
32,[['1351228345359478787']]
33,[['1391715284202016772']]
34,[['1241277758514356224']]
35,[['1351202148810371074']]
36,[['1450898394369740800']]
37,[['1352185306708140033']]
38,[['1391379145179947009']]
39,[['1241976734070771712']]
40,[['1451564472812851203']]
41,[['1352243898618359809']]
42,[['1450725988518744064']]
43,[['1350532522552209421']]
44,[['1351386549284335616']]
45,[['1452495656833232902']]
46,[['1389947996654161924']]
47,[['1450855241784700932']]
48,[['1349999422164267009']]
49,[['1450833747390107652']]
50,[['1451472952462086144']]
51,[['1350452232697896963']]
52,[['1350442222693609472']]
53,[['1350172146920796168']]
54,[['1391763597827641357']]
55,[['1452626589703970826']]
56,[['1451614856558178306']]
57,[['1352288478915137543']]
58,[['1450561713976352772']]
59,[['1351842419826962432']]
60,[['1350895556185485320']]
61,[['1390638986855596033']]
62,[['1452565500983226370']]
63,[['1241235697060777986']]
64,[['1450611057681178627']]
65,[['1452660287501475849']]
66,[['1389604235382251524']]
67,[['1450869426161586180']]
68,[['1350363449793142784']]
69,[['1451465121344147459']]
70,[['1450507546859606023']]
71,[['1450467991381057542']]
72,[['1350242230401970176']]
73,[['1242114764198891521']]
74,[['1242077543936733191']]
75,[['1350709293817982982']]
76,[['1389922273130426368']]
77,[['1350369985366003714']]
78,[['1350428372728426496']]
79,[['1351803447528591361']]
80,[['1450416795639242754']]
81,[['1351788872284463104']]
82,[['1450700928110284800']]
83,[['1352020544221306881']]
84,[['1391110061427146752']]
85,[['1451661920415666176']]
86,[['1350855849326075908']]
87,[['1450430563047940100']]
88,[['1350156809345118209']]
89,[['1391055432626708482']]
90,[['1451243153587982337']]
91,[['1391423773639860229']]
92,[['1390612527017598976']]
93,[['1242900678357454849']]
94,[['1451907994082586629']]
95,[['1389994204852535297']]
96,[['1352172474700587008']]
97,[['1390045731457753091']]
98,[['1452133808145408000']]
99,[['1389796217337507840']]
100,[['1450537338896068611']]
101,[['1450838648585216002']]
102,[['1391108881624018947']]
103,[['1451953381874995205']]
104,[['1391362675460952070']]
105,[['1350490545383231494']]
106,[['1391442118011404299']]
107,[['1391628904197206021']]
108,[['1451087319470153730']]
109,[['1350796535899021313']]
110,[['1389818121247072258']]
111,[['1452670426719539200']]
112,[['1352314249817808898']]
113,[['1350024876762013699']]
114,[['1389631402153418755']]
115,[['1391429564061077515']]
116,[['1451203890741972996']]
117,[['1350503472605618177']]
118,[['1350008084945625088']]
119,[['1450517499838148618']]
120,[['1351176658817052676']]
121,[['1350085209719533571']]
122,[['1451505622390910978']]
123,[['1452483443544055810']]
124,[['1452492625047605249']]
125,[['1451889618966753282']]
126,[['1351795825614213125']]
127,[['1389492667973869568']]
128,[['1451488537015095336']]
129,[['1450870931707019267']]
130,[['1350392491313299457']]
131,[['1451877557813583877']]
132,[['1350936565606969346']]
133,[['1451771877362479105']]
134,[['1390007608279552009']]
135,[['1450845939506241545']]
136,[['1389875438516834309']]
137,[['1452252937611358213']]
138,[['1391256243759685632']]
139,[['1351864385413771267']]
140,[['1351632787644641280']]
141,[['1450781379336224770']]
142,[['1451503067766132736']]
143,[['1389681332767318020']]
144,[['1450538017060540419']]
145,[['1352400387903352833']]
146,[['1350498394087821315']]
147,[['1452226752512729100']]
148,[['1351668870487171080']]
149,[['1450296689038868483']]
150,[['1349874971653402631']]
151,[['1389917154238156800']]
152,[['1350416825021038593']]
153,[['1452518395891564547']]
154,[['1350909597117251585']]
155,[['1390051002783518727']]
156,[['1243041517167575045']]
157,[['1451448855158009860']]
158,[['1451633760751996930']]
159,[['1451062915885326336']]
160,[['1390658997645156356']]
161,[['1391793659461488640']]
162,[['1352237101685862403']]
163,[['1452220710139699215']]
164,[['1350785800213049345']]
165,[['1390311842774491138']]
166,[['1390965950803972097']]
167,[['1352166170795913216']]
168,[['1350480331481227270']]
169,[['1350702057603395586']]
170,[['1451603921076727818']]
171,[['1243196013537525761']]
172,[['1452580989201420289']]
173,[['1450873894550786056']]
174,[['1350058018331877376']]
175,[['1241365016311468033']]
176,[['1389747421085937671']]
177,[['1389934085880041474']]
178,[['1451450752589697028']]
179,[['1451128601319981057']]
180,[['1452280116390907918']]
181,[['1242004562678026240']]
182,[['1390593011134959616']]
183,[['1390969908838678531']]
184,[['1351147587156529152']]
185,[['1352231602475167752']]
186,[['1391055256054861826']]
187,[['1351867116614529025']]
188,[['1389905919065088001']]
189,[['1351091815802425349']]
190,[['1351802255834550273']]
191,[['1350022658566533122']]
192,[['1451128395656478720']]
193,[['1350408932733448193']]
194,[['1351833210230071296']]
195,[['1391639221773946882']]
196,[['1390305757564862487']]
197,[['1452649907014324234']]
198,[['1351562736434614272']]
199,[['1389903475484594177']]
200,[['1351444671533355008']]
201,[['1452600375605960705']]
202,[['1351530986308325379']]
203,[['1450283793600991232']]
204,[['1391029255295754240']]
205,[['1452558669103734788']]
206,[['1389443658433372162']]
207,[['1351511549320552448']]
208,[['1351561744733257729']]
209,[['1350752983869497344']]
210,[['1352103298728423431']]
211,[['1350431412038627334']]
212,[['1391057451928203267']]
213,[['1452554820951449607']]
214,[['1389611198237315076']]
215,[['1351396107318947840']]
216,[['1350095279333253122']]
217,[['1451282618197102598']]
218,[['1351591148666679297']]
219,[['1389660153352491021']]
220,[['1390187607653593088']]
221,[['1243056461112098816']]
222,[['1241351603929530368']]
223,[['1350104347032616963']]
224,[['1351936327768559621']]
225,[['1452530143134732288']]
226,[['1450404290892271623']]
227,[['1351419208639373315']]
228,[['1351862592537567232']]
229,[['1350832798651863042']]
230,[['1351580453258584065']]
231,[['1350422438492958724']]
232,[['1451162903973974021']]
233,[['1389861562584870913']]
234,[['1451647816552501253']]
235,[['1390015139160760324']]
236,[['1450392589425905666']]
237,[['1350027824980221952']]
